CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
91;LC;11524;A;6;0;;1.318;0.405;0.109;CINZA;146;1.0
91;LC;11524;A;6;0;;1.318;0.405;0.109;ROSA;148;1.0
91;LC;11893;E;7;0;;1.699;0.363;0.169;CINZA;155;0.0
91;LC;15020;B;5;0;;1.885;1.091;0.133;ROSA;148;0.0
91;LC;15123;A;6;0;;1.275;0.347;0.21;AZUL;147;0.0
91;LC;15123;A;6;0;;1.275;0.347;0.21;CINZA;146;0.0
92;LC;7104;B;6;0;;1.332;2.25;0.188;CINZA - ESPECIAL D.J.;165;0.0
92;LC;7350;D;6;0;;1.646;0.939;0.204;ROSA;148;0.0
92;LC;9212;A;6;0;;1.866;0.438;0.141;CINZA;155;1.0
92;LC;9317;D;6;0;;1.562;0.815;0.198;AZUL;147;1.0
92;LC;9317;D;6;0;;1.562;0.815;0.198;CINZA;146;1.0
92;LC;10352;D;7;0;;1.617;0.493;0.142;AZUL;147;0.0
92;LC;10352;D;7;0;;1.617;0.493;0.142;CINZA;146;0.0
92;LC;11100;A;6;0;;1.614;1.293;0.136;AMARELA;145;1.0
92;LC;11100;A;6;0;;1.614;1.293;0.136;ROSA;148;1.0
92;LC;13720;A;6;0;;2.762;0.348;0.18;CINZA;155;0.0
92;LC;15020;B;5;0;;1.885;1.091;0.133;AMARELA;145;0.0
93;LC;7111;B;8;0;;1.722;1.862;0.284;AMARELA;145;0.0
93;LC;7111;B;8;0;;1.722;1.862;0.284;ROSA;148;0.0
93;LC;7350;D;6;0;;1.646;0.939;0.204;AZUL;147;0.0
93;LC;7350;D;6;0;;1.646;0.939;0.204;CINZA;146;0.0
93;LC;8395;A;6;0;;3.295;0.812;0.214;CINZA;155;1.0
93;LC;9317;D;6;0;;1.562;0.815;0.198;ROSA;148;1.0
93;LC;9381;A;7;0;;1.675;2.003;0.111;CINZA - ESPECIAL D.J.;165;0.0
93;LC;10575;D;5;0;;2.612;0.771;0.153;CINZA;155;0.0
93;LC;11100;A;6;0;;1.614;1.293;0.136;AZUL;147;1.0
93;LC;11100;A;6;0;;1.614;1.293;0.136;CINZA;146;1.0
93;LC;11524;A;6;0;;1.318;0.405;0.109;AMARELA;145;1.0
94;LC;7111;B;8;0;;1.722;1.862;0.284;AZUL;147;0.0
94;LC;8095;E;6;0;;1.555;1.299;0.103;CINZA;155;1.0
94;LC;8237;B;5;0;;2.032;0.967;0.135;CINZA;155;0.0
94;LC;9167;C;7;0;;2.118;1.058;0.188;CINZA;146;1.0
94;LC;9167;C;7;0;;2.118;1.058;0.188;ROSA;148;1.0
94;LC;9589;C;5;0;;2.348;1.485;0.106;CINZA - ESPECIAL D.J.;165;0.0
94;LC;11637;B;5;0;;1.614;2.255;0.254;AMARELA;145;1.0
94;LC;11637;B;5;0;;1.614;2.255;0.254;AZUL;147;1.0
94;LC;15020;B;5;0;;1.885;1.091;0.133;CINZA;146;0.0
94;LC;15123;A;6;0;;1.275;0.347;0.21;AMARELA;145;0.0
94;LC;15123;A;6;0;;1.275;0.347;0.21;ROSA;148;0.0
95;LC;7111;B;8;0;;1.722;1.862;0.284;CINZA;146;0.0
95;LC;7122;A;8;0;;2.433;1.078;0.115;CINZA;155;0.0
95;LC;9167;C;7;0;;2.118;1.058;0.188;AMARELA;145;1.0
95;LC;9167;C;7;0;;2.118;1.058;0.188;AZUL;147;1.0
95;LC;9761;E;5;0;;3.447;1.078;0.167;CINZA;155;1.0
95;LC;10352;D;7;0;;1.617;0.493;0.142;AMARELA;145;0.0
95;LC;10352;D;7;0;;1.617;0.493;0.142;ROSA;148;0.0
95;LC;11637;B;5;0;;1.614;2.255;0.254;CINZA;146;1.0
95;LC;11637;B;5;0;;1.614;2.255;0.254;ROSA;148;1.0
95;LC;13637;A;7;0;;2.88;-0.054;0.138;CINZA - ESPECIAL D.J.;165;0.0
95;LC;15020;B;5;0;;1.885;1.091;0.133;AZUL;147;0.0
96;LC;7566;E;26;0;;2.758;0.253;0.16;CINZA - ESPECIAL D.J.;165;
96;LC;9917;A;10;0;;2.024;-0.076;0.183;AZUL;147;
96;LC;9917;A;10;0;;2.024;-0.076;0.183;CINZA;146;
96;LC;10128;A;1;0;;2.826;1.126;0.226;AMARELA;145;
96;LC;10467;A;9;0;;1.46;1.422;0.198;ROSA;148;
96;LC;15016;A;14;0;;2.438;-0.156;0.175;CINZA;155;
97;LC;7657;B;13;0;;1.042;1.544;0.159;CINZA - ESPECIAL D.J.;165;
97;LC;9267;A;17;0;;1.528;1.501;0.195;ROSA;148;
97;LC;10744;A;3;0;;1.347;1.034;0.138;AMARELA;145;
97;LC;13161;A;30;0;;1.873;0.255;0.146;AZUL;147;
97;LC;13161;A;30;0;;1.873;0.255;0.146;CINZA;146;
97;LC;15092;C;11;0;;1.499;-0.19;0.164;CINZA;155;
98;LC;7178;A;4;0;;1.743;0.55;0.151;CINZA - ESPECIAL D.J.;165;
98;LC;7871;B;18;0;;1.929;0.296;0.208;CINZA;155;
98;LC;10167;D;20;0;;1.339;0.003;0.153;AZUL;147;
98;LC;10167;D;20;0;;1.339;0.003;0.153;CINZA;146;
98;LC;13064;A;26;0;;0.94;1.199;0.167;AMARELA;145;
98;LC;13440;B;18;0;;1.719;1.669;0.211;ROSA;148;
99;LC;7241;E;24;0;;1.761;-0.23;0.16;AMARELA;145;
99;LC;7243;C;3;0;;1.813;-0.237;0.171;CINZA;155;
99;LC;9917;A;10;0;;2.024;-0.076;0.183;ROSA;148;
99;LC;11849;A;25;0;;1.828;0.166;0.169;AZUL;147;
99;LC;11849;A;25;0;;1.828;0.166;0.169;CINZA;146;
99;LC;12364;C;20;0;;2.74;-0.109;0.257;CINZA - ESPECIAL D.J.;165;
100;LC;7125;D;27;0;;2.694;0.184;0.182;CINZA;155;
100;LC;7241;E;24;0;;1.761;-0.23;0.16;CINZA;146;
100;LC;8971;B;24;0;;2.704;-0.413;0.172;AMARELA;145;
100;LC;10467;A;9;0;;1.46;1.422;0.198;AZUL;147;
100;LC;10727;D;24;0;;2.171;1.147;0.144;CINZA - ESPECIAL D.J.;165;
100;LC;13161;A;30;0;;1.873;0.255;0.146;ROSA;148;
101;LC;7332;C;17;0;;1.426;0.352;0.223;CINZA - ESPECIAL D.J.;165;
101;LC;8971;B;24;0;;2.704;-0.413;0.172;CINZA;146;
101;LC;9267;A;17;0;;1.528;1.501;0.195;AZUL;147;
101;LC;10136;A;20;0;;2.07;0.251;0.166;CINZA;155;
101;LC;10167;D;20;0;;1.339;0.003;0.153;ROSA;148;
101;LC;13388;E;17;0;;1.971;0.039;0.169;AMARELA;145;
102;LC;7714;D;2;0;;1.775;-0.917;0.188;CINZA;146;
102;LC;7879;E;25;0;;2.671;-0.191;0.183;CINZA;155;
102;LC;9843;B;4;0;;2.072;0.209;0.134;AMARELA;145;
102;LC;9880;A;2;0;;1.912;0.59;0.196;CINZA - ESPECIAL D.J.;165;
102;LC;11849;A;25;0;;1.828;0.166;0.169;ROSA;148;
102;LC;13440;B;18;0;;1.719;1.669;0.211;AZUL;147;
103;LC;7241;E;24;0;;1.761;-0.23;0.16;ROSA;148;
103;LC;8716;D;11;0;;1.87;0.307;0.119;CINZA;146;
103;LC;10128;A;1;0;;2.826;1.126;0.226;AZUL;147;
103;LC;10335;D;30;0;;2.72;0.009;0.196;CINZA;155;
103;LC;13152;E;24;0;;2.563;0.427;0.125;AMARELA;145;
103;LC;13343;B;22;0;;1.803;1.685;0.172;CINZA - ESPECIAL D.J.;165;
104;LC;7706;C;25;0;;2.167;0.399;0.116;CINZA - ESPECIAL D.J.;165;
104;LC;8971;B;24;0;;2.704;-0.413;0.172;ROSA;148;
104;LC;9258;E;3;0;;2.418;0.025;0.142;AMARELA;145;
104;LC;9904;A;2;0;;1.781;-0.327;0.165;CINZA;155;
104;LC;10744;A;3;0;;1.347;1.034;0.138;AZUL;147;
104;LC;13475;C;13;0;;1.032;0.763;0.195;CINZA;146;
105;LC;6867;E;21;0;;0.654;0.292;0.236;CINZA - ESPECIAL D.J.;165;
105;LC;7626;B;4;0;;1.618;-0.285;0.19;CINZA;155;
105;LC;9628;A;23;0;;1.24;1.616;0.21;AMARELA;145;
105;LC;10128;A;1;0;;2.826;1.126;0.226;ROSA;148;
105;LC;13064;A;26;0;;0.94;1.199;0.167;AZUL;147;
105;LC;13388;E;17;0;;1.971;0.039;0.169;CINZA;146;
106;LC;7241;E;24;0;;1.761;-0.23;0.16;AZUL;147;
106;LC;7656;B;14;0;;1.597;0.146;0.172;CINZA;155;
106;LC;9843;B;4;0;;2.072;0.209;0.134;CINZA;146;
106;LC;10744;A;3;0;;1.347;1.034;0.138;ROSA;148;
106;LC;10936;E;21;0;;0.814;1.947;0.292;AMARELA;145;
106;LC;13868;C;9;0;;1.269;0.861;0.126;CINZA - ESPECIAL D.J.;165;
107;LC;8971;B;24;0;;2.704;-0.413;0.172;AZUL;147;
107;LC;10299;B;27;0;;2.387;1.698;0.109;CINZA - ESPECIAL D.J.;165;
107;LC;12213;A;16;0;;2.092;0.004;0.163;AMARELA;145;
107;LC;12725;D;10;0;;3.26;0.222;0.128;CINZA;155;
107;LC;13064;A;26;0;;0.94;1.199;0.167;ROSA;148;
107;LC;13152;E;24;0;;2.563;0.427;0.125;CINZA;146;
108;LC;9258;E;3;0;;2.418;0.025;0.142;CINZA;146;
108;LC;11131;D;15;0;;1.774;1.431;0.105;AMARELA;145;
108;LC;11249;B;1;0;;1.452;0.192;0.178;CINZA;155;
108;LC;11950;E;25;0;;2.136;0.329;0.189;AZUL;147;
108;LC;13388;E;17;0;;1.971;0.039;0.169;ROSA;148;
108;LC;13965;D;9;0;;2.355;0.685;0.115;CINZA - ESPECIAL D.J.;165;
109;LC;7157;D;18;0;;1.16;0.242;0.183;AZUL;147;
109;LC;7627;B;4;0;;1.34;0.447;0.155;CINZA;155;
109;LC;7870;B;3;0;;1.881;-0.939;0.198;CINZA - ESPECIAL D.J.;165;
109;LC;9843;B;4;0;;2.072;0.209;0.134;ROSA;148;
109;LC;10467;A;9;0;;1.46;1.422;0.198;AMARELA;145;
109;LC;11950;E;25;0;;2.136;0.329;0.189;CINZA;146;
110;LC;7157;D;18;0;;1.16;0.242;0.183;CINZA;146;
110;LC;7473;E;26;0;;2.278;-0.271;0.163;CINZA;155;
110;LC;9267;A;17;0;;1.528;1.501;0.195;AMARELA;145;
110;LC;11818;E;26;0;;3.231;0.886;0.087;AZUL;147;
110;LC;13152;E;24;0;;2.563;0.427;0.125;ROSA;148;
110;LC;13910;D;30;0;;1.986;-0.032;0.14;CINZA - ESPECIAL D.J.;165;
111;LC;7447;A;18;0;;3.639;0.474;0.113;CINZA;155;
111;LC;9258;E;3;0;;2.418;0.025;0.142;ROSA;148;
111;LC;10609;A;29;0;;2.358;0.532;0.117;AZUL;147;
111;LC;11818;E;26;0;;3.231;0.886;0.087;CINZA;146;
111;LC;13440;B;18;0;;1.719;1.669;0.211;AMARELA;145;
111;LC;15085;C;10;0;;2.566;0.884;0.178;CINZA - ESPECIAL D.J.;165;
112;LC;6857;B;19;0;;1.722;-0.225;0.191;CINZA - ESPECIAL D.J.;165;
112;LC;7058;A;21;0;;1.204;0.233;0.194;CINZA;155;
112;LC;7174;C;15;0;;2.187;0.746;0.213;CINZA;146;
112;LC;7714;D;2;0;;1.775;-0.917;0.188;AMARELA;145;
112;LC;7714;D;2;0;;1.775;-0.917;0.188;ROSA;148;
112;LC;15064;B;17;0;;2.207;0.639;0.162;AZUL;147;
113;LC;7691;E;16;0;;1.388;1.697;0.12;AZUL;147;
113;LC;8716;D;11;0;;1.87;0.307;0.119;AMARELA;145;
113;LC;8716;D;11;0;;1.87;0.307;0.119;ROSA;148;
113;LC;8736;C;9;0;;1.134;0.494;0.246;CINZA;155;
113;LC;8806;D;28;0;;2.167;0.694;0.157;CINZA;146;
113;LC;11597;A;19;0;;1.861;0.814;0.164;CINZA - ESPECIAL D.J.;165;
114;LC;7714;D;2;0;;1.775;-0.917;0.188;AZUL;147;
114;LC;10609;A;29;0;;2.358;0.532;0.117;CINZA;146;
114;LC;11629;B;22;0;;2.439;0.846;0.177;CINZA - ESPECIAL D.J.;165;
114;LC;13473;E;17;0;;1.42;0.899;0.14;CINZA;155;
114;LC;13475;C;13;0;;1.032;0.763;0.195;AMARELA;145;
114;LC;13475;C;13;0;;1.032;0.763;0.195;ROSA;148;
115;LC;8716;D;11;0;;1.87;0.307;0.119;AZUL;147;
115;LC;10609;A;29;0;;2.358;0.532;0.117;ROSA;148;
115;LC;11950;E;25;0;;2.136;0.329;0.189;AMARELA;145;
115;LC;14300;C;2;0;;1.183;0.682;0.229;CINZA;155;
115;LC;15064;B;17;0;;2.207;0.639;0.162;CINZA;146;
115;LC;15086;B;10;0;;0.969;0.788;0.196;CINZA - ESPECIAL D.J.;165;
116;LC;7157;D;18;0;;1.16;0.242;0.183;AMARELA;145;
116;LC;7691;E;16;0;;1.388;1.697;0.12;CINZA;146;
116;LC;10366;C;19;0;;2.012;0.709;0.179;CINZA;155;
116;LC;13475;C;13;0;;1.032;0.763;0.195;AZUL;147;
116;LC;13507;B;1;0;;1.009;1.312;0.268;CINZA - ESPECIAL D.J.;165;
116;LC;15064;B;17;0;;2.207;0.639;0.162;ROSA;148;
117;LC;7691;E;16;0;;1.388;1.697;0.12;ROSA;148;
117;LC;7884;A;13;0;;2.006;0.688;0.17;CINZA;146;
117;LC;11818;E;26;0;;3.231;0.886;0.087;AMARELA;145;
117;LC;13388;E;17;0;;1.971;0.039;0.169;AZUL;147;
117;LC;14755;B;22;0;;2.216;0.642;0.124;CINZA;155;
117;LC;15093;D;12;0;;2.122;1.006;0.141;CINZA - ESPECIAL D.J.;165;
118;LC;7174;C;15;0;;2.187;0.746;0.213;AMARELA;145;
118;LC;9755;E;28;0;;2.418;0.544;0.112;CINZA;155;
118;LC;9843;B;4;0;;2.072;0.209;0.134;AZUL;147;
118;LC;11950;E;25;0;;2.136;0.329;0.189;ROSA;148;
118;LC;12235;C;14;0;;1.669;1.171;0.165;CINZA;146;
118;LC;12867;E;17;0;;1.355;1.572;0.141;CINZA - ESPECIAL D.J.;165;
119;LC;7157;D;18;0;;1.16;0.242;0.183;ROSA;148;
119;LC;7467;D;28;0;;2.792;0.304;0.139;CINZA - ESPECIAL D.J.;165;
119;LC;8806;D;28;0;;2.167;0.694;0.157;AMARELA;145;
119;LC;13152;E;24;0;;2.563;0.427;0.125;AZUL;147;
119;LC;13476;B;27;0;;0.969;2.035;0.26;CINZA;146;
119;LC;15077;A;29;0;;3.151;0.663;0.105;CINZA;155;
120;LC;7098;D;18;0;;1.994;0.551;0.177;CINZA;155;
120;LC;9258;E;3;0;;2.418;0.025;0.142;AZUL;147;
120;LC;10609;A;29;0;;2.358;0.532;0.117;AMARELA;145;
120;LC;11818;E;26;0;;3.231;0.886;0.087;ROSA;148;
120;LC;13273;D;15;0;;1.872;0.933;0.246;CINZA;146;
120;LC;15017;B;2;0;;0.924;1.663;0.189;CINZA - ESPECIAL D.J.;165;
121;LC;7174;C;15;0;;2.187;0.746;0.213;ROSA;148;
121;LC;7688;E;15;0;;2.221;1.323;0.19;CINZA;155;
121;LC;7884;A;13;0;;2.006;0.688;0.17;AZUL;147;
121;LC;10217;B;29;0;;1.186;0.483;0.143;CINZA - ESPECIAL D.J.;165;
121;LC;12402;B;19;0;;1.972;2.078;0.302;CINZA;146;
121;LC;15064;B;17;0;;2.207;0.639;0.162;AMARELA;145;
122;LC;7455;B;23;0;;0.981;1.366;0.253;CINZA;155;
122;LC;7691;E;16;0;;1.388;1.697;0.12;AMARELA;145;
122;LC;8806;D;28;0;;2.167;0.694;0.157;ROSA;148;
122;LC;10209;A;16;0;;1.95;0.927;0.193;CINZA - ESPECIAL D.J.;165;
122;LC;12096;A;27;0;;2.123;0.397;0.097;CINZA;146;
122;LC;12235;C;14;0;;1.669;1.171;0.165;AZUL;147;
123;LC;7032;C;24;0;;1.502;1.075;0.164;CINZA;155;
123;LC;7884;A;13;0;;2.006;0.688;0.17;AMARELA;145;
123;LC;10128;A;1;0;;2.826;1.126;0.226;CINZA;146;
123;LC;10211;A;16;0;;1.842;1.675;0.15;CINZA - ESPECIAL D.J.;165;
123;LC;13273;D;15;0;;1.872;0.933;0.246;ROSA;148;
123;LC;13476;B;27;0;;0.969;2.035;0.26;AZUL;147;
124;LC;7174;C;15;0;;2.187;0.746;0.213;AZUL;147;
124;LC;9697;A;26;0;;2.728;0.135;0.122;CINZA - ESPECIAL D.J.;165;
124;LC;10744;A;3;0;;1.347;1.034;0.138;CINZA;146;
124;LC;12235;C;14;0;;1.669;1.171;0.165;AMARELA;145;
124;LC;12402;B;19;0;;1.972;2.078;0.302;ROSA;148;
124;LC;14220;E;24;0;;2.041;0.999;0.156;CINZA;155;
125;LC;7847;B;25;0;;1.426;0.96;0.22;CINZA;155;
125;LC;8806;D;28;0;;2.167;0.694;0.157;AZUL;147;
125;LC;12096;A;27;0;;2.123;0.397;0.097;ROSA;148;
125;LC;13064;A;26;0;;0.94;1.199;0.167;CINZA;146;
125;LC;13476;B;27;0;;0.969;2.035;0.26;AMARELA;145;
125;LC;15076;C;27;0;;1.15;1.519;0.192;CINZA - ESPECIAL D.J.;165;
126;LC;7179;D;23;0;;1.248;1.226;0.226;CINZA;146;
126;LC;7884;A;13;0;;2.006;0.688;0.17;ROSA;148;
126;LC;9792;B;15;0;;1.414;1.179;0.152;CINZA;155;
126;LC;11145;C;23;0;;3.133;0.13;0.155;CINZA - ESPECIAL D.J.;165;
126;LC;13273;D;15;0;;1.872;0.933;0.246;AMARELA;145;
126;LC;13273;D;15;0;;1.872;0.933;0.246;AZUL;147;
127;LC;9758;B;11;0;;1.385;0.668;0.217;CINZA - ESPECIAL D.J.;165;
127;LC;12235;C;14;0;;1.669;1.171;0.165;ROSA;148;
127;LC;12402;B;19;0;;1.972;2.078;0.302;AMARELA;145;
127;LC;12402;B;19;0;;1.972;2.078;0.302;AZUL;147;
127;LC;13091;E;22;0;;2.838;1.048;0.07;CINZA;146;
127;LC;15101;B;12;0;;2.115;1.548;0.192;CINZA;155;
128;LC;7229;C;18;0;;2.631;-0.067;0.188;CINZA - ESPECIAL D.J.;165;
128;LC;9287;A;13;0;;0.912;0.699;0.186;CINZA;155;
128;LC;12096;A;27;0;;2.123;0.397;0.097;AMARELA;145;
128;LC;12096;A;27;0;;2.123;0.397;0.097;AZUL;147;
128;LC;13476;B;27;0;;0.969;2.035;0.26;ROSA;148;
128;LC;15094;D;12;0;;1.9;1.439;0.29;CINZA;146;
129;LC;7179;D;23;0;;1.248;1.226;0.226;AMARELA;145;
129;LC;7179;D;23;0;;1.248;1.226;0.226;AZUL;147;
129;LC;9434;C;17;0;;2.822;1.424;0.214;CINZA;155;
129;LC;9628;A;23;0;;1.24;1.616;0.21;ROSA;148;
129;LC;10467;A;9;0;;1.46;1.422;0.198;CINZA;146;
129;LC;13816;D;11;0;;1.527;1.204;0.138;CINZA - ESPECIAL D.J.;165;
130;LC;7876;C;16;0;;1.55;1.572;0.173;CINZA;155;
130;LC;9267;A;17;0;;1.528;1.501;0.195;CINZA;146;
130;LC;10289;D;15;0;;2.015;0.434;0.119;CINZA - ESPECIAL D.J.;165;
130;LC;10936;E;21;0;;0.814;1.947;0.292;ROSA;148;
130;LC;13091;E;22;0;;2.838;1.048;0.07;AMARELA;145;
130;LC;13091;E;22;0;;2.838;1.048;0.07;AZUL;147;
131;LC;9403;E;15;0;;1.683;1.585;0.135;CINZA;155;
131;LC;10822;E;18;0;;2.496;0.066;0.165;CINZA - ESPECIAL D.J.;165;
131;LC;12213;A;16;0;;2.092;0.004;0.163;ROSA;148;
131;LC;13440;B;18;0;;1.719;1.669;0.211;CINZA;146;
131;LC;15094;D;12;0;;1.9;1.439;0.29;AMARELA;145;
131;LC;15094;D;12;0;;1.9;1.439;0.29;AZUL;147;
132;LC;9628;A;23;0;;1.24;1.616;0.21;AZUL;147;
132;LC;9628;A;23;0;;1.24;1.616;0.21;CINZA;146;
132;LC;9917;A;10;0;;2.024;-0.076;0.183;AMARELA;145;
132;LC;10185;B;15;0;;1.418;0.202;0.168;CINZA - ESPECIAL D.J.;165;
132;LC;11131;D;15;0;;1.774;1.431;0.105;ROSA;148;
132;LC;15033;C;14;0;;1.455;1.455;0.154;CINZA;155;
133;LC;7179;D;23;0;;1.248;1.226;0.226;ROSA;148;
133;LC;7875;E;12;0;;1.189;0.254;0.168;CINZA - ESPECIAL D.J.;165;
133;LC;10936;E;21;0;;0.814;1.947;0.292;AZUL;147;
133;LC;10936;E;21;0;;0.814;1.947;0.292;CINZA;146;
133;LC;13161;A;30;0;;1.873;0.255;0.146;AMARELA;145;
133;LC;13592;D;18;0;;1.071;2.06;0.161;CINZA;155;
134;LC;9757;A;3;0;;1.903;-0.423;0.161;CINZA - ESPECIAL D.J.;165;
134;LC;10167;D;20;0;;1.339;0.003;0.153;AMARELA;145;
134;LC;12007;A;16;0;;1.114;2.418;0.25;CINZA;155;
134;LC;12213;A;16;0;;2.092;0.004;0.163;AZUL;147;
134;LC;12213;A;16;0;;2.092;0.004;0.163;CINZA;146;
134;LC;13091;E;22;0;;2.838;1.048;0.07;ROSA;148;
135;LC;7234;C;4;0;;0.962;2.012;0.151;CINZA;155;
135;LC;8778;C;18;0;;1.668;0.74;0.161;CINZA - ESPECIAL D.J.;165;
135;LC;11131;D;15;0;;1.774;1.431;0.105;AZUL;147;
135;LC;11131;D;15;0;;1.774;1.431;0.105;CINZA;146;
135;LC;11849;A;25;0;;1.828;0.166;0.169;AMARELA;145;
135;LC;15094;D;12;0;;1.9;1.439;0.29;ROSA;148;
136;MT;5817;B;2;0;;2.512;2.041;0.106;CINZA - ESPECIAL D.J.;166;
136;MT;8444;E;20;0;;1.135;-1.259;0.201;CINZA;150;
136;MT;8930;C;5;0;;0.898;1.628;0.128;ROSA;152;
136;MT;10547;A;4;0;;2.346;1.071;0.107;AMARELA;149;
136;MT;12670;C;24;0;;1.437;-0.18;0.169;CINZA;156;
136;MT;15395;D;11;0;;1.799;2.214;0.182;AZUL;151;
137;MT;9075;C;2;0;;1.587;-0.03;0.207;CINZA;156;
137;MT;10823;A;7;0;;1.483;-0.252;0.197;CINZA;150;
137;MT;12765;C;13;0;;3.113;1.76;0.222;ROSA;152;
137;MT;15307;E;7;0;;1.881;2.227;0.204;AZUL;151;
137;MT;15402;D;11;0;;2.023;1.286;0.085;AMARELA;149;
137;MT;15444;A;13;0;;2.147;0.629;0.164;CINZA - ESPECIAL D.J.;166;
138;MT;6086;B;3;0;;2.328;2.467;0.193;AZUL;151;
138;MT;9207;B;3;0;;1.517;-0.047;0.173;CINZA;150;
138;MT;15446;C;14;0;;1.786;1.911;0.138;ROSA;152;
138;MT;15460;E;30;0;;1.282;1.837;0.151;AMARELA;149;
138;MT;15469;E;26;0;;3.02;1.763;0.05;CINZA - ESPECIAL D.J.;166;
138;MT;18389;C;18;0;;1.03;0.471;0.173;CINZA;156;
139;MT;7285;B;17;0;;2.075;2.145;0.171;CINZA - ESPECIAL D.J.;166;
139;MT;7421;D;28;0;;1.952;2.677;0.096;AZUL;151;
139;MT;7890;B;8;0;;2.576;2.062;0.189;ROSA;152;
139;MT;9909;D;12;0;;1.867;1.515;0.129;AMARELA;149;
139;MT;10974;B;27;0;;2.263;0.512;0.11;CINZA;156;
139;MT;12533;E;26;0;;1.306;0.46;0.176;CINZA;150;
140;MT;8444;E;20;0;;1.135;-1.259;0.201;AMARELA;149;
140;MT;8504;D;23;0;;1.079;1.617;0.29;AZUL;151;
140;MT;9572;A;22;0;;3.412;3.036;0.209;CINZA - ESPECIAL D.J.;166;
140;MT;10494;C;3;0;;1.848;0.598;0.153;CINZA;156;
140;MT;11521;E;25;0;;2.353;0.55;0.186;CINZA;150;
140;MT;12730;C;1;0;;1.589;0.603;0.137;ROSA;152;
141;MT;7603;E;19;0;;2.305;1.406;0.305;AZUL;151;
141;MT;9576;C;27;0;;2.138;0.686;0.249;CINZA;156;
141;MT;10181;E;15;0;;2.384;0.633;0.16;CINZA;150;
141;MT;10823;A;7;0;;1.483;-0.252;0.197;AMARELA;149;
141;MT;14393;A;25;0;;2.366;0.465;0.114;ROSA;152;
141;MT;15467;D;29;0;;2.711;1.541;0.157;CINZA - ESPECIAL D.J.;166;
142;MT;7031;C;6;0;;1.738;0.754;0.196;CINZA;150;
142;MT;7729;D;3;0;;1.517;0.82;0.15;CINZA;156;
142;MT;7823;B;9;0;;1.104;2.818;0.178;CINZA - ESPECIAL D.J.;166;
142;MT;8428;B;26;0;;1.613;0.452;0.124;ROSA;152;
142;MT;9207;B;3;0;;1.517;-0.047;0.173;AMARELA;149;
142;MT;11343;D;12;0;;1.797;1.306;0.12;AZUL;151;
143;MT;7282;A;16;0;;1.8;-0.418;0.186;ROSA;152;
143;MT;7291;A;19;0;;2.544;1.267;0.269;AZUL;151;
143;MT;9411;A;26;0;;0.952;0.976;0.101;CINZA;156;
143;MT;10300;B;21;0;;2.369;0.826;0.148;CINZA;150;
143;MT;12533;E;26;0;;1.306;0.46;0.176;AMARELA;149;
143;MT;14246;C;19;0;;0.684;-0.506;0.194;CINZA - ESPECIAL D.J.;166;
144;MT;7725;D;4;0;;2.764;0.956;0.129;CINZA;150;
144;MT;8444;E;20;0;;1.135;-1.259;0.201;ROSA;152;
144;MT;8461;D;18;0;;3.874;1.504;0.13;CINZA - ESPECIAL D.J.;166;
144;MT;10547;A;4;0;;2.346;1.071;0.107;AZUL;151;
144;MT;11521;E;25;0;;2.353;0.55;0.186;AMARELA;149;
144;MT;15308;C;7;0;;2.538;1.094;0.171;CINZA;156;
145;MT;5970;B;26;0;;1.89;2.042;0.11;CINZA - ESPECIAL D.J.;166;
145;MT;7357;C;28;0;;2.388;1.294;0.196;CINZA;156;
145;MT;10181;E;15;0;;2.384;0.633;0.16;AMARELA;149;
145;MT;10547;A;4;0;;2.346;1.071;0.107;CINZA;150;
145;MT;10823;A;7;0;;1.483;-0.252;0.197;ROSA;152;
145;MT;15402;D;11;0;;2.023;1.286;0.085;AZUL;151;
146;MT;8930;C;5;0;;0.898;1.628;0.128;AMARELA;149;
146;MT;9207;B;3;0;;1.517;-0.047;0.173;ROSA;152;
146;MT;12992;C;12;0;;2.377;1.344;0.155;CINZA;156;
146;MT;15402;D;11;0;;2.023;1.286;0.085;CINZA;150;
146;MT;15460;E;30;0;;1.282;1.837;0.151;AZUL;151;
146;MT;15461;B;30;0;;0.668;0.226;0.207;CINZA - ESPECIAL D.J.;166;
147;MT;9909;D;12;0;;1.867;1.515;0.129;AZUL;151;
147;MT;11456;D;4;0;;1.821;1.42;0.108;CINZA;156;
147;MT;12533;E;26;0;;1.306;0.46;0.176;ROSA;152;
147;MT;12765;C;13;0;;3.113;1.76;0.222;AMARELA;149;
147;MT;15304;A;5;0;;2.383;2.493;0.16;CINZA - ESPECIAL D.J.;166;
147;MT;15460;E;30;0;;1.282;1.837;0.151;CINZA;150;
148;MT;7294;A;25;0;;2.351;1.494;0.127;CINZA;156;
148;MT;8444;E;20;0;;1.135;-1.259;0.201;AZUL;151;
148;MT;8497;C;1;0;;1.817;1.986;0.317;CINZA - ESPECIAL D.J.;166;
148;MT;9214;A;9;0;;3.544;2.408;0.141;ROSA;152;
148;MT;9909;D;12;0;;1.867;1.515;0.129;CINZA;150;
148;MT;15446;C;14;0;;1.786;1.911;0.138;AMARELA;149;
149;MT;7419;E;28;0;;3.573;1.665;0.192;CINZA;156;
